# x # f(x)
-3.000000	-2.000000
-2.900000	-0.379000
-2.800000	1.088000
-2.700000	2.407000
-2.600000	3.584000
-2.500000	4.625000
-2.400000	5.536000
-2.300000	6.323000
-2.200000	6.992000
-2.100000	7.549000
-2.000000	8.000000
-1.900000	8.351000
-1.800000	8.608000
-1.700000	8.777000
-1.600000	8.864000
-1.500000	8.875000
-1.400000	8.816000
-1.300000	8.693000
-1.200000	8.512000
-1.100000	8.279000
-1.000000	8.000000
-0.900000	7.681000
-0.800000	7.328000
-0.700000	6.947000
-0.600000	6.544000
-0.500000	6.125000
-0.400000	5.696000
-0.300000	5.263000
-0.200000	4.832000
-0.100000	4.409000
0.000000	4.000000
0.100000	3.611000
0.200000	3.248000
0.300000	2.917000
0.400000	2.624000
0.500000	2.375000
0.600000	2.176000
0.700000	2.033000
0.800000	1.952000
0.900000	1.939000
1.000000	2.000000
1.100000	2.141000
1.200000	2.368000
1.300000	2.687000
1.400000	3.104000
1.500000	3.625000
1.600000	4.256000
1.700000	5.003000
1.800000	5.872000
1.900000	6.869000
2.000000	8.000000
2.100000	9.271000
2.200000	10.688000
2.300000	12.257000
2.400000	13.984000
2.500000	15.875000
2.600000	17.936000
2.700000	20.173000
2.800000	22.592000
2.900000	25.199000
3.000000	28.000000
